iter	RMSE
0	14.16351678
1	13.76325344
2	13.36461833
3	12.98818709
4	12.64277158
5	12.28137735
6	11.92181557
7	11.60463444
8	11.26521596
9	10.98128315
10	10.70779031
11	10.41838741
12	10.16328824
13	9.896377421
14	9.667836553
15	9.408281977
16	9.201891791
17	9.010262831
18	8.795274588
19	8.573144777
20	8.370680146
21	8.179112496
22	7.97045937
23	7.795741406
24	7.629042565
25	7.448784629
26	7.296941508
27	7.157291228
28	7.022580796
29	6.886994876
30	6.742786249
31	6.616579335
32	6.491452062
33	6.366411851
34	6.243870275
35	6.140598074
36	6.0338796
37	5.927367911
38	5.832836896
39	5.747106894
40	5.665494913
41	5.582110878
42	5.503104087
43	5.424803963
44	5.342711481
45	5.271398539
46	5.199841917
47	5.135573543
48	5.075327147
49	5.020391505
50	4.963074492
51	4.90762574
52	4.852529196
53	4.799795388
54	4.750080088
55	4.694927532
56	4.650357887
57	4.609580576
58	4.564622954
59	4.52620319
60	4.488572775
61	4.448430728
62	4.412672133
63	4.378292713
64	4.342119745
65	4.308106871
66	4.278231973
67	4.251467362
68	4.221725569
69	4.194109689
70	4.165003396
71	4.139802823
72	4.113460767
73	4.086279674
74	4.06409834
75	4.044376397
76	4.022138971
77	4.001182066
78	3.973868042
79	3.957255518
80	3.940856346
81	3.921666052
82	3.906157802
83	3.89200269
84	3.880596295
85	3.859592809
86	3.844305033
87	3.830534594
88	3.814141935
89	3.798507181
90	3.785070175
91	3.772053647
92	3.754240524
93	3.74019629
94	3.72676369
95	3.714181697
96	3.702034499
97	3.689783005
98	3.677902392
99	3.661844398
100	3.64985459
101	3.638447001
102	3.623401611
103	3.614889618
104	3.606758823
105	3.594310605
106	3.583318989
107	3.572300525
108	3.560806191
109	3.55298911
110	3.54213903
111	3.535570168
112	3.530480521
113	3.517852542
114	3.507318051
115	3.498380097
116	3.490798017
117	3.479540117
118	3.469768252
119	3.455981106
120	3.445320511
121	3.437504268
122	3.427010252
123	3.415226773
124	3.405223187
125	3.397737762
126	3.386535805
127	3.37935466
128	3.370948803
129	3.363740667
130	3.355077792
131	3.349197493
132	3.342142136
133	3.333927704
134	3.327703805
135	3.321101327
136	3.312529276
137	3.304057683
138	3.292855589
139	3.284072484
140	3.277857066
141	3.266549209
142	3.25516417
143	3.249451426
144	3.239074103
145	3.232538847
146	3.220530202
147	3.215719672
148	3.208786655
149	3.202646958
150	3.200170684
151	3.19041266
152	3.182071959
153	3.176328408
154	3.171040284
155	3.164443631
156	3.159085693
157	3.148867839
158	3.143102298
159	3.137975272
160	3.130889806
161	3.12305919
162	3.120133759
163	3.114434898
164	3.104486006
165	3.099482643
166	3.092192214
167	3.087264656
168	3.081539991
169	3.073805907
170	3.063277107
171	3.052265804
172	3.045374974
173	3.037796684
174	3.03089208
175	3.024036008
176	3.01606062
177	3.006515687
178	3.000540167
179	2.991491331
180	2.986043995
181	2.979925811
182	2.976361753
183	2.972403634
184	2.968784682
185	2.961984657
186	2.955414291
